지점,지점명,일시,시정(10m)
133,대전,2023-01-02 01:00,4934
133,대전,2023-01-02 02:00,4995
133,대전,2023-01-02 03:00,5000
133,대전,2023-01-02 04:00,5000
133,대전,2023-01-02 05:00,5000
133,대전,2023-01-02 06:00,5000
133,대전,2023-01-02 07:00,5000
133,대전,2023-01-02 08:00,3579
133,대전,2023-01-02 09:00,4833
133,대전,2023-01-02 10:00,4973
133,대전,2023-01-02 11:00,4948
133,대전,2023-01-02 12:00,5000
133,대전,2023-01-02 13:00,5000
133,대전,2023-01-02 14:00,5000
133,대전,2023-01-02 15:00,5000
133,대전,2023-01-02 16:00,5000
133,대전,2023-01-02 17:00,5000
133,대전,2023-01-02 18:00,5000
133,대전,2023-01-02 19:00,5000
133,대전,2023-01-02 20:00,4909
133,대전,2023-01-02 21:00,4825
133,대전,2023-01-02 22:00,4773
133,대전,2023-01-02 23:00,4598
133,대전,2023-01-03 00:00,4532
133,대전,2023-01-03 01:00,4446
133,대전,2023-01-03 02:00,4139
133,대전,2023-01-03 03:00,3767
133,대전,2023-01-03 04:00,3433
133,대전,2023-01-03 05:00,2998
133,대전,2023-01-03 06:00,2837
133,대전,2023-01-03 07:00,2586
133,대전,2023-01-03 08:00,2312
133,대전,2023-01-03 09:00,2477
133,대전,2023-01-03 10:00,2550
133,대전,2023-01-03 11:00,3618
133,대전,2023-01-03 12:00,4681
133,대전,2023-01-03 13:00,4979
133,대전,2023-01-03 14:00,4953
133,대전,2023-01-03 15:00,5000
133,대전,2023-01-03 16:00,4857
133,대전,2023-01-03 17:00,4960
133,대전,2023-01-03 18:00,4851
133,대전,2023-01-03 19:00,4219
133,대전,2023-01-03 20:00,3655
133,대전,2023-01-03 21:00,3679
133,대전,2023-01-03 22:00,4500
133,대전,2023-01-03 23:00,4780
133,대전,2023-01-04 00:00,4717
133,대전,2023-01-04 01:00,4088
133,대전,2023-01-04 02:00,4233
133,대전,2023-01-04 03:00,4109
133,대전,2023-01-04 04:00,4441
133,대전,2023-01-04 05:00,4492
133,대전,2023-01-04 06:00,4277
133,대전,2023-01-04 07:00,4403
133,대전,2023-01-04 08:00,3918
133,대전,2023-01-04 09:00,3503
133,대전,2023-01-04 10:00,3372
133,대전,2023-01-04 11:00,3586
133,대전,2023-01-04 12:00,3664
133,대전,2023-01-04 13:00,4228
133,대전,2023-01-04 14:00,4662
133,대전,2023-01-04 15:00,4632
133,대전,2023-01-04 16:00,4464
133,대전,2023-01-04 17:00,4594
133,대전,2023-01-04 18:00,3539
133,대전,2023-01-04 19:00,3057
133,대전,2023-01-04 20:00,2636
133,대전,2023-01-04 21:00,2221
133,대전,2023-01-04 22:00,2098
133,대전,2023-01-04 23:00,1813
133,대전,2023-01-05 00:00,1706
133,대전,2023-01-05 01:00,1542
133,대전,2023-01-05 02:00,1489
133,대전,2023-01-05 03:00,1346
133,대전,2023-01-05 04:00,1221
133,대전,2023-01-05 05:00,1204
133,대전,2023-01-05 06:00,1388
133,대전,2023-01-05 07:00,1210
133,대전,2023-01-05 08:00,1094
133,대전,2023-01-05 09:00,1014
133,대전,2023-01-05 10:00,1174
133,대전,2023-01-05 11:00,1245
133,대전,2023-01-05 12:00,1579
133,대전,2023-01-05 13:00,1445
133,대전,2023-01-05 14:00,938
133,대전,2023-01-05 15:00,839
133,대전,2023-01-05 16:00,803
133,대전,2023-01-05 17:00,760
133,대전,2023-01-05 18:00,703
133,대전,2023-01-05 19:00,720
133,대전,2023-01-05 20:00,767
133,대전,2023-01-05 21:00,758
133,대전,2023-01-05 22:00,639
133,대전,2023-01-05 23:00,615
133,대전,2023-01-06 00:00,590
133,대전,2023-01-06 01:00,538
133,대전,2023-01-06 02:00,496
133,대전,2023-01-06 03:00,460
133,대전,2023-01-06 04:00,393
133,대전,2023-01-06 05:00,358
133,대전,2023-01-06 06:00,365
133,대전,2023-01-06 07:00,320
133,대전,2023-01-06 08:00,323
133,대전,2023-01-06 09:00,362
133,대전,2023-01-06 10:00,350
133,대전,2023-01-06 11:00,382
133,대전,2023-01-06 12:00,419
133,대전,2023-01-06 13:00,425
133,대전,2023-01-06 14:00,455
133,대전,2023-01-06 15:00,400
133,대전,2023-01-06 16:00,390
133,대전,2023-01-06 17:00,360
133,대전,2023-01-06 18:00,325
133,대전,2023-01-06 19:00,317
133,대전,2023-01-06 20:00,286
133,대전,2023-01-06 21:00,277
133,대전,2023-01-06 22:00,176
133,대전,2023-01-06 23:00,290
133,대전,2023-01-07 00:00,45
133,대전,2023-01-07 01:00,142
133,대전,2023-01-07 02:00,168
133,대전,2023-01-07 03:00,145
133,대전,2023-01-07 04:00,139
133,대전,2023-01-07 05:00,181
133,대전,2023-01-07 06:00,146
133,대전,2023-01-07 07:00,148
133,대전,2023-01-07 08:00,220
133,대전,2023-01-07 09:00,383
133,대전,2023-01-07 10:00,496
133,대전,2023-01-07 11:00,617
133,대전,2023-01-07 12:00,904
133,대전,2023-01-07 13:00,1331
133,대전,2023-01-07 14:00,1771
133,대전,2023-01-07 15:00,1767
133,대전,2023-01-07 16:00,1552
133,대전,2023-01-07 17:00,1163
133,대전,2023-01-07 18:00,1079
133,대전,2023-01-07 19:00,973
133,대전,2023-01-07 20:00,827
133,대전,2023-01-07 21:00,960
133,대전,2023-01-07 22:00,1029
133,대전,2023-01-07 23:00,866
133,대전,2023-01-08 00:00,833
133,대전,2023-01-08 01:00,884
133,대전,2023-01-08 02:00,909
133,대전,2023-01-08 03:00,814
133,대전,2023-01-08 04:00,808
133,대전,2023-01-08 05:00,810
133,대전,2023-01-08 06:00,819
133,대전,2023-01-08 07:00,710
133,대전,2023-01-08 08:00,693
