瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),嚼档(%)
239,技辆,2023-01-01 20:00,-.7,,1.2,38
239,技辆,2023-01-01 21:00,-.9,,1.5,39
239,技辆,2023-01-01 22:00,-1.1,,1.1,34
239,技辆,2023-01-01 23:00,-1.2,,1.4,32
239,技辆,2023-01-02 00:00,-1.5,,2,37
239,技辆,2023-01-02 01:00,-3,,1.4,49
239,技辆,2023-01-02 02:00,-3.2,,2.3,49
239,技辆,2023-01-02 03:00,-4.1,,1.5,43
239,技辆,2023-01-02 04:00,-4.6,,1.1,37
239,技辆,2023-01-02 05:00,-4.4,,1.6,28
239,技辆,2023-01-02 06:00,-5.2,,.1,30
239,技辆,2023-01-02 07:00,-5.6,,.3,34
239,技辆,2023-01-02 08:00,-6.6,,.6,46
239,技辆,2023-01-02 09:00,-5.1,,.5,44
239,技辆,2023-01-02 10:00,-2.8,,.8,39
239,技辆,2023-01-02 11:00,-1.5,,1,34
239,技辆,2023-01-02 12:00,-.8,,2,31
239,技辆,2023-01-02 13:00,.3,,2.1,28
239,技辆,2023-01-02 14:00,.9,,2.2,29
239,技辆,2023-01-02 15:00,1.1,,2.4,25
239,技辆,2023-01-02 16:00,.9,,1.1,26
239,技辆,2023-01-02 17:00,-.9,,2,32
239,技辆,2023-01-02 18:00,-2,,1.6,38
239,技辆,2023-01-02 19:00,-2.7,,1.4,42
239,技辆,2023-01-02 20:00,-3.4,,.7,48
239,技辆,2023-01-02 21:00,-4.2,,.6,52
239,技辆,2023-01-02 22:00,-4.4,,1,53
239,技辆,2023-01-02 23:00,-4.9,,.3,57
239,技辆,2023-01-03 00:00,-6.3,,.3,64
239,技辆,2023-01-03 01:00,-7.4,,.8,70
239,技辆,2023-01-03 02:00,-7.6,,1,71
239,技辆,2023-01-03 03:00,-7.8,,.5,74
239,技辆,2023-01-03 04:00,-8.4,,0,76
239,技辆,2023-01-03 05:00,-8.5,,0,78
239,技辆,2023-01-03 06:00,-8.7,,0,80
239,技辆,2023-01-03 07:00,-9.1,,.2,83
239,技辆,2023-01-03 08:00,-9.1,,.2,83
239,技辆,2023-01-03 09:00,-6.4,,.4,73
239,技辆,2023-01-03 10:00,-4.4,,.9,65
239,技辆,2023-01-03 11:00,-2.2,,1.1,52
239,技辆,2023-01-03 12:00,-.7,,1.3,41
239,技辆,2023-01-03 13:00,1,,1,40
239,技辆,2023-01-03 14:00,1.6,,2.2,39
239,技辆,2023-01-03 15:00,1.9,,1.5,36
239,技辆,2023-01-03 16:00,1.7,,1.5,35
239,技辆,2023-01-03 17:00,.5,,1.6,39
239,技辆,2023-01-03 18:00,-.7,,1.5,44
239,技辆,2023-01-03 19:00,-1.2,,2,51
239,技辆,2023-01-03 20:00,-2.4,,2.3,55
239,技辆,2023-01-03 21:00,-2.9,,2,45
239,技辆,2023-01-03 22:00,-3.7,,1.4,44
239,技辆,2023-01-03 23:00,-3.8,,1,42
239,技辆,2023-01-04 00:00,-4.7,,0,45
239,技辆,2023-01-04 01:00,-6,,0,58
239,技辆,2023-01-04 02:00,-6.4,,.5,60
239,技辆,2023-01-04 03:00,-7,,0,64
239,技辆,2023-01-04 04:00,-7,,.4,68
239,技辆,2023-01-04 05:00,-6.4,,.3,66
239,技辆,2023-01-04 06:00,-5.8,,.1,66
